,unqProductCategoryId,unqProductId,vchSegmentCode,vchSegmentDescription,vchFamilyCode,vchFamilyDescription,vchClassCode,vchClassDescription,intBrickCode,"vchBrickDescription""",vchProductName,bitConsumerUnit,datModified,datPublished,vchTargetMarket,vchReferenceId,vchBrandName
0,E8A55BFB-C78C-42FE-A47F-00201FEB5B99,67322B2A-49B0-43DC-9719-56B65A9D0B66,50000000,Food/Beverage/Tobacco,50170000,Seasonings/Preservatives/Extracts,50171500,Herbs/Spices/Extracts,10000049,Herbs/Spices (Shelf Stable),"DURKEE, DILL WEED, 5OZ",1,2016-09-14 11:33:33,2016-09-14 12:12:27,US,DSOaHf,DURKEE
1,5EEB0569-33A2-4407-A2F4-004B3618F7D6,8F4EB68C-013D-42BC-B4F5-B192B8C4165F,50000000,Food/Beverage/Tobacco,50170000,Seasonings/Preservatives/Extracts,50171500,Herbs/Spices/Extracts,10000049,Herbs/Spices (Shelf Stable),"DURKEE, BLACK PEPPER, REGULAR GRIND, 18OZ",1,2016-09-14 11:49:21,2016-09-14 12:12:28,US,hfkZ4B,DURKEE
2,AF97F079-A522-4F7F-8D25-029F29E6C0AE,809E8EE5-D6DE-4F04-90CB-E1B26872515C,50000000,Food/Beverage/Tobacco,50170000,Seasonings/Preservatives/Extracts,50171500,Herbs/Spices/Extracts,10000050,Extracts/Salt/Meat Tenderisers (Shelf Stable),"DURKEE, IMITATION FLAVOR, VANILLA, CLEAR, 32FO",1,2016-03-28 16:43:02,2016-11-08 17:12:14,US,4r8j7N,DURKEE
3,4632BA1A-44CE-4AE4-A9AA-0393B4441465,F4487424-E335-4FAA-BF1F-D6994D5D0001,50000000,Food/Beverage/Tobacco,50170000,Seasonings/Preservatives/Extracts,50171500,Herbs/Spices/Extracts,10000049,Herbs/Spices (Shelf Stable),"DURKEE, HERBES DE PROVENCE, 5.5OZ",1,2016-09-14 12:27:21,2016-09-14 13:12:55,US,BU0lXg,DURKEE
4,8FFBAA25-CBB9-417E-9F90-04CB0C342DF9,59A29442-113A-46F2-9BD9-152EFD9FD5BE,50000000,Food/Beverage/Tobacco,50170000,Seasonings/Preservatives/Extracts,50171500,Herbs/Spices/Extracts,10000049,Herbs/Spices (Shelf Stable),"DURKEE, TACO SEASONING MIX, 21OZ",1,2016-09-14 11:49:19,2016-09-14 12:12:28,US,Sx1Chr,DURKEE
5,3F8446CA-4E28-4FFF-A19C-062628B6E4AA,AF9B57A7-C9AD-4084-87DB-95A62648F26A,50000000,Food/Beverage/Tobacco,50170000,Seasonings/Preservatives/Extracts,50171500,Herbs/Spices/Extracts,10000050,Extracts/Salt/Meat Tenderisers (Shelf Stable),"DURKEE, IMITATION FLAVOR, LEMON, 16FO",1,2016-09-14 12:07:33,2016-09-14 12:12:30,US,aX0McA,DURKEE
6,9699D327-551F-4068-AA62-0652E80D054B,8D19E09A-93EE-459D-A00A-BD30898A39D3,50000000,Food/Beverage/Tobacco,50170000,Seasonings/Preservatives/Extracts,50171800,Sauces/Spreads/Dips/Condiments,10000057,Sauces - Cooking (Shelf Stable),"DURKEE, CHILI PRONTO SEASONING MIX, 22OZ",1,2016-09-14 11:03:29,2016-09-14 11:12:52,US,MJK9uY,DURKEE
7,C58C7C64-34C3-4D03-9DE8-068EF5E6C2C1,BAA18BBA-EF5D-4552-8BC1-25BCF429FD33,50000000,Food/Beverage/Tobacco,50170000,Seasonings/Preservatives/Extracts,50171500,Herbs/Spices/Extracts,10000049,Herbs/Spices (Shelf Stable),"DURKEE, GARLIC ROMANO SPRINK, 25LB",1,2016-09-14 11:19:09,2016-09-14 12:12:30,US,oDRe14,DURKEE
8,7EEF4BBF-6885-49BE-BF1D-06945DBE126D,C18095ED-BCD2-4928-B1C7-D93FCB78F849,50000000,Food/Beverage/Tobacco,50160000,Confectionery/Sugar Sweetening Products,50161500,Sugars/Sugar Substitute Products,10000044,Syrup/Treacle/Molasses (Shelf Stable),"KARO, CORN SYRUP, DARK, 620LB",1,2016-09-13 14:56:14,2016-09-13 15:12:29,US,87u56g,KARO
9,3194D165-2827-405B-9928-08401755D56A,4CC5938D-5522-4DE4-A137-D5B7A642E370,50000000,Food/Beverage/Tobacco,50170000,Seasonings/Preservatives/Extracts,50171500,Herbs/Spices/Extracts,10000049,Herbs/Spices (Shelf Stable),"DURKEE, GARLIC PEPPER, 25LB",1,2016-09-14 13:12:28,2016-09-14 13:12:56,US,FgUqem,DURKEE
10,86A6A7BD-4444-4A86-BC23-09160C235DEF,85B5E600-0F96-42C3-93AE-BF89B5680965,50000000,Food/Beverage/Tobacco,50170000,Seasonings/Preservatives/Extracts,50171500,Herbs/Spices/Extracts,10000049,Herbs/Spices (Shelf Stable),"DURKEE, PARSLEY, FLAKES, 2OZ",1,2016-09-14 11:41:23,2016-09-14 12:12:27,US,VBoRbT,DURKEE
11,FB68D553-69DE-468C-A64D-092B520C824D,11EE98E8-FA80-4F0D-BD68-7B99CEB5697D,50000000,Food/Beverage/Tobacco,50170000,Seasonings/Preservatives/Extracts,50171500,Herbs/Spices/Extracts,10000049,Herbs/Spices (Shelf Stable),"DURKEE, MINT LEAVES, 4.25OZ",1,2016-09-14 12:28:42,2016-09-14 13:12:55,US,jNNRny,DURKEE
12,8AD98CD6-F1B9-43D6-B6D4-0955A620212D,B0D6BDF5-A156-4A5F-BDD8-00E55639ED2A,50000000,Food/Beverage/Tobacco,50170000,Seasonings/Preservatives/Extracts,50171500,Herbs/Spices/Extracts,10000049,Herbs/Spices (Shelf Stable),"DURKEE, CELERY FLAKES, 3.5OZ",1,2016-09-14 13:52:59,2016-09-14 14:12:37,US,cFqK7q,DURKEE
13,86CCD648-8EC2-4805-96D8-0AE55609A4CC,97BD161E-F4FB-45C0-A83E-F3B3A2FB50BA,50000000,Food/Beverage/Tobacco,50170000,Seasonings/Preservatives/Extracts,50171500,Herbs/Spices/Extracts,10000049,Herbs/Spices (Shelf Stable),"DURKEE, MEAT TENDERIZER, UNSEASONED, 34OZ",1,2016-09-14 11:37:32,2016-09-14 12:12:29,US,aT0sZ3,DURKEE
